title,keywords,release_date,overall_summary,structure,methodology,example,abstract,arxiv
Exploring Demonstration Retrievers in RAG for Coding Tasks: Yeas and Nays!,"approximate nearest neighbor search, retrieval efficiency, code generation tasks, demonstration retrieval, retrieval-augmented generation",2024-10,"This paper systematically evaluates the efficiency-effectiveness trade-off of different retrievers (sparse and dense) in retrieval-augmented generation (RAG) for coding tasks like program synthesis, commit message generation, and assertion generation. It finds that while sparse retrievers like BM25 excel in effectiveness for small knowledge bases, approximate dense retrievers like HNSW offer significant efficiency gains with minimal quality drop for large-scale retrieval.","1. Introduction 2. Background (RAG, retrieval approaches) 3. Experimental Design (research questions, datasets, retrievers, metrics) 4. Results (effectiveness, efficiency, trade-off analysis) 5. Discussion 6. Conclusion","['Evaluated 6 retrievers: 2 sparse (BM25, BM25L), 1 exhaustive dense (SBERT Semantic Search), 3 approximate dense (ANNOY, LSH, HNSW)', 'Used SBERT embeddings to encode queries and demonstrations', 'Approximate retrievers build indexes to retrieve subset of neighbors instead of full scan', 'Compared retrieval time and output quality metrics across tasks and knowledge base sizes']","For the commit message generation task with a large knowledge base, the HNSW approximate dense retriever achieved a 44x speedup over BM25 with only a 1.74% drop in RougeL score. This demonstrates HNSW's ability to provide an efficient-effective retrieval trade-off for RAG in large-scale coding tasks.","Retrieval-Augmented Generation (RAG) enhances Large Language Models (LLMs) by
integrating external knowledge bases, achieving state-of-the-art results in
various coding tasks. The core of RAG is retrieving demonstration examples,
which is essential to balance effectiveness (generation quality) and efficiency
(retrieval time) for optimal performance. However, the high-dimensional nature
of code representations and large knowledge bases often create efficiency
bottlenecks, which are overlooked in previous research. This paper
systematically evaluates the efficiency-effectiveness trade-off of retrievers
across three coding tasks: Program Synthesis, Commit Message Generation, and
Assertion Generation. We examined six retrievers: two sparse (BM25 and BM25L)
and four dense retrievers, including one exhaustive dense retriever (SBERT's
Semantic Search) and three approximate dense retrievers (ANNOY, LSH, and HNSW).
Our findings show that while BM25 excels in effectiveness, it suffers in
efficiency as the knowledge base grows beyond 1000 entries. In large-scale
retrieval, efficiency differences become more pronounced, with approximate
dense retrievers offering the greatest gains. For instance, in Commit
Generation task, HNSW achieves a 44x speed up, while only with a 1.74% drop in
RougeL compared with BM25. Our results also show that increasing the number of
demonstrations in the prompt doesn't always improve the effectiveness and can
increase latency and lead to incorrect outputs. Our findings provide valuable
insights for practitioners aiming to build efficient and effective RAG systems
for coding tasks.",http://arxiv.org/abs/2410.09662v1
Approaching Code Search for Python as a Translation Retrieval Problem with Dual Encoders,"unified language model, dual encoders, cosine similarity loss, FastText embeddings, code search for Python",2024-10,"This paper proposes a dual encoder approach using a unified language model and cosine similarity loss for the code search task, specifically for Python. It demonstrates improved performance over state-of-the-art methods while being more efficient.",1. Introduction 1.1 Proposed Approach 1.2 Research Questions 1.3 Contributions 2. Background and Related Work 2.1 Code Search 2.2 Code Search with LLMs 2.3 Dual Encoders 2.4 Code Search with Dual Encoders 3. Methodology 4. Experiments and Results 5. Analysis and Discussion 6. Conclusion and Future Work,"['- Use a unified FastText language model to generate word embeddings for both natural language and code sequences', '- Project the embeddings onto a shared space using dual encoders (one for natural language, one for code)', '- Train the encoders using cosine similarity loss to make linked pairs closer in the shared space', '- At inference, compute cosine similarity between query and code embeddings to retrieve relevant code']","For the natural language query 'Decompresses data for Content-Encoding: deflate', the model embeds both the query and candidate Python functions like 'def undeflate(data): ...' onto the shared space. The Python function with the highest cosine similarity to the query is retrieved as the most relevant result.","Code search is vital in the maintenance and extension of software systems.
Past works have used separate language models for the natural language and
programming language artifacts on models with multiple encoders and different
loss functions. Similarly, this work approaches code search for Python as a
translation retrieval problem while the natural language queries and the
programming language are treated as two types of languages. By using dual
encoders, these two types of language sequences are projected onto a shared
embedding space, in which the distance reflects the similarity between a given
pair of query and code. However, in contrast to previous work, this approach
uses a unified language model, and a dual encoder structure with a cosine
similarity loss function. A unified language model helps the model take
advantage of the considerable overlap of words between the artifacts, making
the learning much easier. On the other hand, the dual encoders trained with
cosine similarity loss helps the model learn the underlining patterns of which
terms are important for predicting linked pairs of artifacts. Evaluation shows
the proposed model achieves performance better than state-of-the-art code
search models. In addition, this model is much less expensive in terms of time
and complexity, offering a cheaper, faster, and better alternative.",http://arxiv.org/abs/2410.03431v2
Local Search for Integer Quadratic Programming,"integer quadratic programming, local search operators, quadratic constraints, two-mode search, scoring functions",2024-09,"This paper proposes LS-IQCQP, a novel local search solver for solving general integer quadratic programming (IQP) problems. It introduces new local search operators capable of handling quadratic terms in both the objective and constraints, along with a two-mode algorithm utilizing specialized scoring functions.",1. Introduction 2. Preliminaries 3. Local Search Operators 3.1 Operator for Feasibility 3.2 Operators for Optimization 4. Weighting Scheme and Score Function 5. Local Search Algorithm,"['Proposed four new local search operators for IQP: - Quadratic satisfying move operator for violated constraints - Inequality exploration move operator for optimizing objective - Equality incremental move operator for satisfied equality constraints - Free move operator for unconstrained variables', 'Introduced a two-mode local search algorithm: - Satisfying mode uses operators to satisfy violated constraints - Optimization mode uses operators to improve objective value', 'Designed specialized scoring functions incorporating weights for constraints and objective', 'Implemented dynamic weight adjustment scheme to guide search']","For a quadratic equality constraint x^2 + y^2 = 25 involving variables x and y in the objective, the equality incremental move operator works as follows: 1) Increment/decrement x by 1 to decrease the objective value 2) Update y to a new integer value that satisfies the equality constraint 3) Accept the move if the new (x,y) assignment decreases the overall objective value","Integer Quadratic Programming (IQP) is an important problem in operations
research. Local search is a powerful method for solving hard problems, but the
research on local search algorithms for IQP solving is still on its early
stage. This paper develops an efficient local search solver for solving general
IQP, called LS-IQCQP. We propose four new local search operators for IQP that
can handle quadratic terms in the objective function, constraints or both.
Furthermore, a two-mode local search algorithm is introduced, utilizing newly
designed scoring functions to enhance the search process. Experiments are
conducted on standard IQP benchmarks QPLIB and MINLPLIB, comparing LS-IQCQP
with several state-of-the-art IQP solvers. Experimental results demonstrate
that LS-IQCQP is competitive with the most powerful commercial solver Gurobi
and outperforms other state-of-the-art solvers. Moreover, LS-IQCQP has
established 6 new records for QPLIB and MINLPLIB open instances.",http://arxiv.org/abs/2409.19668v1
Preference-Guided Refactored Tuning for Retrieval Augmented Code Generation,"retrieval-augmented code generation, preference-guided refactorer, generative compression, preference gap, two-stage training",2024-09,"This paper proposes a novel framework called RRG (Retrieve, Refactor, Generate) to improve retrieval-augmented code generation by introducing a code refactorer module that bridges the preference gap between the retriever and generator. It uses a two-stage training approach to enable the refactorer to compress retrieved code into a concise, model-friendly form aligned with the generator's preferences.","1. Introduction - Motivates retrieval-augmented code generation and identifies limitations 2. Related Work - Covers pretrained models, retrieval-augmented generation, retrieval-augmented code generation 3. Approach - Describes the RRG framework, refactored fine-tuning, and preference-aware tuning 4. Experiments 5. Conclusion","['Introduces a code refactorer module between the retriever and generator', 'Two-stage training scheme:', '- Stage 1 (Refactored Fine-Tuning): Train refactorer for generative compression using supervised learning on target code', '- Stage 2 (Preference-Aware Tuning): Finetune refactorer using reinforcement learning to align its output with generator preferences']","For the query 'implement binary search in Python', the retriever fetches relevant code snippets. The refactorer compresses these into a concise, Python-specific code example focused on binary search, removing redundancies. This refactored code is then fed to the generator to produce the final implementation.","Retrieval-augmented code generation utilizes Large Language Models as the
generator and significantly expands their code generation capabilities by
providing relevant code, documentation, and more via the retriever. The current
approach suffers from two primary limitations: 1) information redundancy. The
indiscriminate inclusion of redundant information can result in resource
wastage and may misguide generators, affecting their effectiveness and
efficiency. 2) preference gap. Due to different optimization objectives, the
retriever strives to procure code with higher ground truth similarity, yet this
effort does not substantially benefit the generator. The retriever and the
generator may prefer different golden code, and this gap in preference results
in a suboptimal design. Additionally, differences in parameterization knowledge
acquired during pre-training result in varying preferences among different
generators.
  To address these limitations, in this paper, we propose RRG (Retrieve,
Refactor, Generate), a novel framework for effective and efficient code
generation. This framework introduces a code refactorer module between the
retriever and the generator to bridge them. The refactoring process transforms
the raw retrieved code into a more concise, efficient, and model-friendly
version. It eliminates redundant information and noise, reducing the input
length. Consequently, the generator receives higher-quality context, enabling
it to produce more accurate results with lower inference costs. We conducted
comprehensive experiments on multiple datasets. In the experiments, we
confirmed the existence of a preference gap between the retriever and the
generator, and RRG effectively bridges this gap. Specifically, RRG achieved
significant performance improvements, with increases of up to 28% on EM, 13% on
BLEU, and 6.8% on CodeBLEU.",http://arxiv.org/abs/2409.15895v1
RepoGenReflex: Enhancing Repository-Level Code Completion with Verbal Reinforcement and Retrieval-Augmented Generation,"retrieval-augmented generation, verbal reinforcement learning, repository-level code completion, iterative feedback optimization, context-aware code generation",2024-09,"The paper proposes RepoGenReflex, a framework that enhances repository-level code completion by integrating Retrieval-Augmented Generation (RAG) with Verbal Reinforcement Learning (VRL). It optimizes the retrieval and generation process through iterative linguistic feedback, leading to improved accuracy and relevance of code completions.",1. Introduction 2. Related Work 2.1 Retrieval-Augmented Generation (RAG) 2.2 Verbal Reinforcement Learning (VRL) 2.3 Repository-Level Code Completion 3. Framework Design 3.1 Components - Retriever - Actor (Generative LLM) - Evaluator - Reflector - Experience 3.2 Leveraging Experience for Improved Retrieval 3.3 Iterative Process 3.4 Component Interdependency,"['- Uses Retrieval-Augmented Generation (RAG) to retrieve relevant code snippets from repositories', '- Employs a pre-trained language model (LLM) as the Actor to generate code completions', '- Evaluates generated code using Exact Match (EM) and Edit Similarity (ES) metrics', '- Utilizes Verbal Reinforcement Learning (VRL) through the Reflector component to provide linguistic feedback', '- Stores feedback in the Experience component to refine future retrievals and generations', '- Iteratively improves code completions by leveraging feedback and adjusting retrievals']","For example, if the Reflector provides feedback suggesting improvements to a function's error handling, the Experience component extracts these suggestions. The Retriever then constructs a new retrieval target by combining the suggestions with the remaining unfinished code. It performs a similarity search against the repository files to find the most relevant code snippets aligning with the new target, which are then used to generate an improved version of the code in the next iteration.","In real-world software engineering tasks, solving a problem often requires
understanding and modifying multiple functions, classes, and files across a
large codebase. Therefore, on the repository level, it is crucial to extract
the relevant information to achieve accurate code completion effectively.
Existing code completion tools have achieved some success, but they struggle to
optimize the retrieval and generation process dynamically. In this paper, we
propose RepoGenReflex, a generic, dynamic, effective framework to address this
challenge. By leveraging the Retrieval-Augmented Generation (RAG) enhanced with
Verbal Reinforcement Learning (VRL), it can dynamically choose the optimal
results for repository-level code completion. RepoGenReflex uses Reflector to
give directional feedback to the next loop. RepoGenReflex chooses the optimal
results stored in the Experience cache based on the RAG-VRL loop. To validate
the framework's generalization ability, we propose a new benchmark RepoGenEval,
which consists of the latest, high-quality real-world repositories in line
completion scenarios. Our experiments demonstrate that RepoGenReflex achieves
significant improvements after optimizing the Reflector component, resulting in
enhanced accuracy and relevance of code completions. Additionally,
RepoGenReflex consistently demonstrates superior performance and effectiveness
across standard code completion tasks, highlighting the robustness and
adaptability of our framework.",http://arxiv.org/abs/2409.13122v2
RethinkMCTS: Refining Erroneous Thoughts in Monte Carlo Tree Search for Code Generation,"thought-level code generation, Monte Carlo tree search, code execution feedback, error correction, dual evaluation",2024-09,"This paper proposes RethinkMCTS, a framework that uses Monte Carlo Tree Search (MCTS) to explore the thought process of code generation and leverages detailed feedback from code execution to refine erroneous thoughts, thereby improving the overall search quality and code generation performance.",1. Introduction 2. Related Work 3. Preliminaries 4. RethinkMCTS 4.1 Overview 4.2 Selection 4.3 Expansion 4.4 Simulation 4.5 Evaluation 4.6 Backpropagation 4.7 Rethink 5. Experiments 6. Conclusion,"['- Use Monte Carlo Tree Search (MCTS) to explore the thought process of code generation', '- Obtain block-level code analysis as verbal feedback through code execution', ""- Introduce 'rethink' operation to refine erroneous thoughts based on verbal feedback"", '- Employ dual evaluation using public test cases and LLM evaluation to assess code quality']","For the problem of checking if any two numbers in a list are closer than a given threshold, RethinkMCTS may explore thoughts like: 'Use a nested loop to compare each pair' -> 'Utilize a more efficient data structure like sorting'. If the nested loop approach fails test cases, the verbal feedback guides rethinking to the more efficient sorted approach.","LLM agents enhanced by tree search algorithms have yielded notable
performances in code generation. However, current search algorithms in this
domain suffer from low search quality due to several reasons: 1) Ineffective
design of the search space for the high-reasoning demands of code generation
tasks, 2) Inadequate integration of code feedback with the search algorithm,
and 3) Poor handling of negative feedback during the search, leading to reduced
search efficiency and quality. To address these challenges, we propose to
search for the reasoning process of the code and use the detailed feedback of
code execution to refine erroneous thoughts during the search. In this paper,
we introduce RethinkMCTS, which employs the Monte Carlo Tree Search (MCTS)
algorithm to conduct thought-level searches before generating code, thereby
exploring a wider range of strategies. More importantly, we construct verbal
feedback from fine-grained code execution feedback to refine erroneous thoughts
during the search. This ensures that the search progresses along the correct
reasoning paths, thus improving the overall search quality of the tree by
leveraging execution feedback. Through extensive experiments, we demonstrate
that RethinkMCTS outperforms previous search-based and feedback-based code
generation baselines. On the HumanEval dataset, it improves the pass@1 of
GPT-3.5-turbo from 70.12 to 89.02 and GPT-4o-mini from 87.20 to 94.51. It
effectively conducts more thorough exploration through thought-level searches
and enhances the search quality of the entire tree by incorporating rethink
operation.",http://arxiv.org/abs/2409.09584v1
Planning In Natural Language Improves LLM Search For Code Generation,"natural language planning, code generation search, diverse idea exploration, solution sketches, combinatorial plan sampling",2024-09,The paper proposes a novel search algorithm called PlanSearch that improves large language model performance on code generation tasks by searching over diverse natural language plans and solution sketches before generating code. PlanSearch outperforms standard sampling methods by exploring a significantly more diverse space of potential solutions.,1. Introduction 2. Related Work 3. Motivation 4. PlanSearch Algorithm 5. Experiments 6. Analysis 7. Conclusion,"['Generate diverse first-order observations about the coding problem in natural language', 'Combinatorially sample subsets of observations to form candidate solution plans', 'Optionally generate second-order observations based on sampled plans', 'Translate final sampled plans into natural language strategy descriptions', 'Generate code by conditioning the language model on the strategy descriptions']","For the problem of finding the longest common subsequence between two strings: First-order observations: 'Use dynamic programming', 'Compare characters pairwise', 'Build up from smaller solutions' Sampled plan: 'Use dynamic programming', 'Compare characters pairwise' Second-order observation: 'Store results in 2D array to avoid recomputing' Strategy description: 'Use dynamic programming with a 2D array, comparing characters pairwise and building up the solution from smaller subproblems' Generated code: [Python code implementing dynamic programming solution]","While scaling training compute has led to remarkable improvements in large
language models (LLMs), scaling inference compute has not yet yielded analogous
gains. We hypothesize that a core missing component is a lack of diverse LLM
outputs, leading to inefficient search due to models repeatedly sampling highly
similar, yet incorrect generations. We empirically demonstrate that this lack
of diversity can be mitigated by searching over candidate plans for solving a
problem in natural language. Based on this insight, we propose PlanSearch, a
novel search algorithm which shows strong results across HumanEval+, MBPP+, and
LiveCodeBench (a contamination-free benchmark for competitive coding).
PlanSearch generates a diverse set of observations about the problem and then
uses these observations to construct plans for solving the problem. By
searching over plans in natural language rather than directly over code
solutions, PlanSearch explores a significantly more diverse range of potential
solutions compared to baseline search methods. Using PlanSearch on top of
Claude 3.5 Sonnet achieves a state-of-the-art pass@200 of 77.0% on
LiveCodeBench, outperforming both the best score achieved without search
(pass@1 = 41.4%) and using standard repeated sampling (pass@200 = 60.6%).
Finally, we show that, across all models, search algorithms, and benchmarks
analyzed, we can accurately predict performance gains due to search as a direct
function of the diversity over generated ideas. Code can be found at
https://github.com/scaleapi/plansearch.",http://arxiv.org/abs/2409.03733v2
"No Man is an Island: Towards Fully Automatic Programming by Code Search, Code Generation and Program Repair","retrieval-augmented code generation, test-driven program repair, large language model integration, automatic programming pipeline, code search and reuse",2024-09,"This paper proposes Cream, a novel framework that integrates code search, code generation, and program repair techniques leveraging large language models (LLMs) to advance automatic programming. The key idea is to emulate the real-world programming process by using code search to retrieve relevant code snippets, generating code candidates based on the retrieved code using LLMs, and refining the generated code through test-driven program repair with LLMs.","1. Introduction - Motivation and overview of automatic programming challenges 2. Background & Related Work - Overview of code search, generation, repair techniques 3. The Cream Framework - Detailed description of the proposed 3-stage framework 4. Preliminary Evaluation - Experiments on programming benchmarks, case studies 5. Discussion & Future Work","['Use information retrieval or deep learning techniques to search for relevant code from databases', 'Leverage LLMs to generate ranked code candidates based on requirements and retrieved code', 'Construct dynamic prompts with test case feedback to query LLMs for iterative code refinement']","For the problem 'Write a Python function to count true Booleans in a list', Cream first retrieves similar code demonstrations like 'def solution(arr): ...'. It then uses an LLM to generate an initial solution 'def count(a): count = 0 
 for i in a: 
  if i == True: 
   count += 1'. When this fails a test case, Cream provides the failure trace to the LLM to generate a patch correcting the condition to 'if i:' instead of 'if i == True:'.","Automatic programming attempts to minimize human intervention in the
generation of executable code, and has been a long-standing challenge in the
software engineering community. To advance automatic programming, researchers
are focusing on three primary directions: (1) code search that reuses existing
code snippets from external databases; (2) code generation that produces new
code snippets from natural language; and (3) program repair that refines
existing code snippets by fixing detected bugs. Despite significant
advancements, the effectiveness of state-of-the-art techniques is still
limited, such as the usability of searched code and the correctness of
generated code.
  Motivated by the real-world programming process, where developers usually use
various external tools to aid their coding processes, such as code search
engines and code testing tools, in this work, we propose \toolname{}, an
automatic programming framework that leverages recent large language models
(LLMs) to integrate the three research areas to address their inherent
limitations. In particular, our framework first leverages different code search
strategies to retrieve similar code snippets, which are then used to further
guide the code generation process of LLMs. Our framework further validates the
quality of generated code by compilers and test cases, and constructs repair
prompts to query LLMs for generating correct patches. We conduct preliminary
experiments to demonstrate the potential of our framework, \eg helping
CodeLlama solve 267 programming problems with an improvement of 62.53\%. As a
generic framework, \toolname{} can integrate various code search, generation,
and repair tools, combining these three research areas together for the first
time. More importantly, it demonstrates the potential of using traditional SE
tools to enhance the usability of LLMs in automatic programming.",http://arxiv.org/abs/2409.03267v1
Chain-of-Experts (CoE): Reverse Engineering Software Bills of Materials for JavaScript Application Bundles through Code Clone Search,"JavaScript application bundles, Software Bill of Materials, code segmentation, code classification, code clone retrieval, multi-task learning",2024-08,"This paper proposes Chain-of-Experts (CoE), a novel multi-task deep learning model to generate Software Bills of Materials (SBoMs) for JavaScript application bundles through code segmentation, classification, and clone retrieval. CoE offers an efficient end-to-end solution by jointly optimizing these tasks.",1. Introduction 2. Problem Formulation 3. Chain-of-Experts Architecture Design 4. Experimental Setup 5. Results and Analysis 6. Deployment and Operational Analysis 7. Related Work 8. Conclusion,"['Divides JavaScript bundles into sliding windows to handle long sequences', 'Uses a chain of backbone and expert neural network models for multi-task learning', 'Backbone models encode semantics and global context', 'Expert models predict segment boundaries, code classes, and code embeddings', 'Novel segmentation masking technique to prevent data overflow across segments', 'Optimizes for segmentation, classification and clone retrieval tasks jointly']","For a JavaScript application bundle containing code like: 

<cls>!function(e,t){""use strict"";""object""==typeof e...}

CoE would segment it into windows, predict segment boundaries and classes (e.g. library, application), and retrieve matching library files from a code repository using embeddings and cosine similarity.","A Software Bill of Materials (SBoM) is a detailed inventory of all
components, libraries, and modules in a software artifact, providing
traceability throughout the software supply chain. With the increasing
popularity of JavaScript in software engineering due to its dynamic syntax and
seamless supply chain integration, the exposure to vulnerabilities and attacks
has risen significantly. A JavaScript application bundle, which is a
consolidated, symbol-stripped, and optimized assembly of code for deployment
purpose. Generating a SBoM from a JavaScript application bundle through a
reverse-engineering process ensures the integrity, security, and compliance of
the supplier's software release, even without access to the original dependency
graphs.
  This paper presents the first study on SBoM generation for JavaScript
application bundles. We identify three key challenges for this task, i.e.,
nested code scopes, extremely long sequences, and large retrieval spaces. To
address these challenges, we introduce Chain-of-Experts (CoE), a multi-task
deep learning model designed to generate SBoMs through three tasks: code
segmentation, code classification, and code clone retrieval. We evaluate CoE
against individual task-specific solutions on 500 web application bundles with
over 66,000 dependencies. Our experimental results demonstrate that CoE offers
competitive outcomes with less training and inference time when compared with
combined individual task-specific solutions. Consequently, CoE provides the
first scalable, efficient, and end-to-end solution for the SBoM generation of
real-world JavaScript application bundles.",http://arxiv.org/abs/2408.16198v1
Search-Based LLMs for Code Optimization,"search-based optimization, evolutionary search, representative sample selection, adaptive pattern retrieval, genetic operator prompting",2024-08,"This paper proposes SBLLM, a search-based framework that integrates large language models (LLMs) with evolutionary search techniques for automated code optimization. It enables iterative refinement and discovery of improved optimization methods through representative sample selection, adaptive pattern retrieval, and genetic operator-inspired prompting.",1. Introduction 2. Proposed Framework a. Overview b. Execution-based Representative Sample Selection c. Adaptive Optimization Pattern Retrieval d. Genetic Operator-inspired Chain-of-thought Prompting 3. Evaluation 4. Conclusion,"['Execution-based representative sample selection to evaluate fitness of existing optimized code and prioritize promising samples', 'Adaptive optimization pattern retrieval to infuse targeted optimization patterns into the model for guiding LLMs', 'Genetic operator-inspired chain-of-thought prompting to aid LLMs in combining different optimization methods']","For a Python code snippet using the Eratosthenes Sieve algorithm, SBLLM retrieves a similar pattern showing the correct initialization to rectify errors in the current optimized code. For a C++ code truncating a string, it retrieves a different pattern using substr() to find an unexploited optimization method.","The code written by developers usually suffers from efficiency problems and
contain various performance bugs. These inefficiencies necessitate the research
of automated refactoring methods for code optimization. Early research in code
optimization employs rule-based methods and focuses on specific inefficiency
issues, which are labor-intensive and suffer from the low coverage issue.
Recent work regards the task as a sequence generation problem, and resorts to
deep learning (DL) techniques such as large language models (LLMs). These
methods typically prompt LLMs to directly generate optimized code. Although
these methods show state-of-the-art performance, such one-step generation
paradigm is hard to achieve an optimal solution. First, complex optimization
methods such as combinatorial ones are hard to be captured by LLMs. Second, the
one-step generation paradigm poses challenge in precisely infusing the
knowledge required for effective code optimization within LLMs, resulting in
under-optimized code.To address these problems, we propose to model this task
from the search perspective, and propose a search-based LLMs framework named
SBLLM that enables iterative refinement and discovery of improved optimization
methods. SBLLM synergistically integrate LLMs with evolutionary search and
consists of three key components: 1) an execution-based representative sample
selection part that evaluates the fitness of each existing optimized code and
prioritizes promising ones to pilot the generation of improved code; 2) an
adaptive optimization pattern retrieval part that infuses targeted optimization
patterns into the model for guiding LLMs towards rectifying and progressively
enhancing their optimization methods; and 3) a genetic operator-inspired
chain-of-thought prompting part that aids LLMs in combining different
optimization methods and generating improved optimization methods.",http://arxiv.org/abs/2408.12159v1
EPiC: Cost-effective Search-based Prompt Engineering of LLMs for Code Generation,"evolutionary prompt engineering, code generation, test case evaluation, cost-effective, large language models",2024-08,"The paper proposes EPiC, an evolutionary algorithm-based approach for cost-effective prompt engineering of large language models for code generation tasks. EPiC optimizes prompts by assessing the generated code against test case pass rates, outperforming state-of-the-art methods while requiring lower computational cost.",1. Introduction 2. Background 3. Evolutionary Prompt Engineering for Code (EPiC) 4. Experimental Setup 5. Results and Discussion 6. Threats to Validity 7. Conclusion,"['Two phases: Initial Evaluation (IE) and Evolutionary Prompt Engineering (EPE)', 'IE: Generate code from initial prompt and evaluate against test cases', 'EPE: If IE fails, evolve population of prompts using mutation and selection', 'Mutations via LLM-guided prompts or word embedding replacements', 'Selection based on test case pass rates as fitness function']","For the prompt 'Write a function to print the given string', the initial code generated an incorrect print statement. After mutation to 'Write a function to publish the given string', the expected return statement passing the test cases was produced.","Large Language Models (LLMs) have seen increasing use in various software
development tasks, especially in code generation. The most advanced recent
methods attempt to incorporate feedback from code execution into prompts to
help guide LLMs in generating correct code, in an iterative process. While
effective, these methods could be costly and time-consuming due to numerous
interactions with the LLM and the extensive token usage. To address this issue,
we propose an alternative approach named Evolutionary Prompt Engineering for
Code (EPiC), which leverages a lightweight evolutionary algorithm to evolve the
original prompts toward better ones that produce high-quality code, with
minimal interactions with LLM. Our evaluation against state-of-the-art (SOTA)
LLM-based code generation models shows that EPiC outperforms all the baselines
in terms of cost-effectiveness.",http://arxiv.org/abs/2408.11198v1
Deep Code Search with Naming-Agnostic Contrastive Multi-View Learning,"naming-agnostic, contrastive multi-view learning, code search, graph self-supervised learning, abstract syntax tree modeling",2024-08,This paper proposes a naming-agnostic code search method (NACS) based on contrastive multi-view learning to overcome the challenge of different naming conventions in code. NACS strips variable name information from abstract syntax trees (ASTs) and uses contrastive learning on graph and path views to learn code representations robust to naming variations.,1. Introduction 2. Related Work 2.1 Code Representation Learning 2.2 Code Search 2.3 Graph Self-Supervised Learning 3. Methodology 3.1 Preliminaries 3.2 Overview of NACS 3.3 Graph-View Modeling 3.4 Path-View Modeling 3.5 Multi-View Learning 3.6 Model Training 4. Experiments 5. Conclusion,"['Strip variable name information from input ASTs to focus on capturing intrinsic AST structure properties', 'Use semantic-level and syntax-level data augmentation to prepare realistic training data', 'Adopt contrastive learning on the graph-view of ASTs to learn naming-agnostic code representations', 'Model AST paths in a path-view to complement the graph-view representations', 'Use multi-view learning to combine and mutually enhance the graph-view and path-view representations']","For the code snippets in Figure 1, NACS would strip the variable names 'lst', 'item', 'l', 'i' from the ASTs. It would then apply data augmentation like renaming variables to create positive/negative example pairs. The contrastive graph-view modeling would learn to map the augmented ASTs to similar representations despite naming differences. The path-view captures complementary structural information to further enhance the naming-agnostic representations.","Software development is a repetitive task, as developers usually reuse or get
inspiration from existing implementations. Code search, which refers to the
retrieval of relevant code snippets from a codebase according to the
developer's intent that has been expressed as a query, has become increasingly
important in the software development process. Due to the success of deep
learning in various applications, a great number of deep learning based code
search approaches have sprung up and achieved promising results. However,
developers may not follow the same naming conventions and the same variable may
have different variable names in different implementations, bringing a
challenge to deep learning based code search methods that rely on explicit
variable correspondences to understand source code. To overcome this challenge,
we propose a naming-agnostic code search method (NACS) based on contrastive
multi-view code representation learning. NACS strips information bound to
variable names from Abstract Syntax Tree (AST), the representation of the
abstract syntactic structure of source code, and focuses on capturing intrinsic
properties solely from AST structures. We use semantic-level and syntax-level
augmentation techniques to prepare realistically rational data and adopt
contrastive learning to design a graph-view modeling component in NACS to
enhance the understanding of code snippets. We further model ASTs in a path
view to strengthen the graph-view modeling component through multi-view
learning. Extensive experiments show that NACS provides superior code search
performance compared to baselines and NACS can be adapted to help existing code
search methods overcome the impact of different naming conventions.",http://arxiv.org/abs/2408.09345v1
ViC: Virtual Compiler Is All You Need For Assembly Code Search,"virtual compiler, assembly code search, large language model, code search dataset construction, contrastive learning",2024-08,"This paper introduces a novel approach called Virtual Compiler (ViC) that uses a large language model to emulate a general compiler and generate assembly code from source code across programming languages. ViC enables constructing large datasets for assembly code search, leading to substantial performance improvements over prior methods.","1. Introduction to assembly code search and dataset challenges 2. Background on assembly code analysis, modeling, and code search 3. Overview of the ViC approach 4. Training ViC as a virtual compiler on compiled Ubuntu packages 5. Using ViC to construct assembly code search dataset and train encoder 6. Evaluation of ViC and assembly code search performance","['Compile over 6,000 C/C++ packages from Ubuntu using different compilers/versions/optimizations to obtain source-assembly pairs', 'Pre-train CodeLlama model on this 20B token dataset to learn compiler behavior (ViC)', 'Use ViC to virtually compile existing code search datasets to assembly code', 'Train assembly code encoder on augmented dataset using contrastive learning']","For the bubble sort algorithm in C, ViC can take the source code as input and generate the corresponding assembly code, preserving semantic equivalence despite the loss of high-level structure like variable names and loops during compilation.","Assembly code search is vital for reducing the burden on reverse engineers,
allowing them to quickly identify specific functions using natural language
within vast binary programs. Despite its significance, this critical task is
impeded by the complexities involved in building high-quality datasets. This
paper explores training a Large Language Model (LLM) to emulate a general
compiler. By leveraging Ubuntu packages to compile a dataset of 20 billion
tokens, we further continue pre-train CodeLlama as a Virtual Compiler (ViC),
capable of compiling any source code of any language to assembly code. This
approach allows for virtual compilation across a wide range of programming
languages without the need for a real compiler, preserving semantic equivalency
and expanding the possibilities for assembly code dataset construction.
Furthermore, we use ViC to construct a sufficiently large dataset for assembly
code search. Employing this extensive dataset, we achieve a substantial
improvement in assembly code search performance, with our model surpassing the
leading baseline by 26%.",http://arxiv.org/abs/2408.06385v1
